,Exploitation,Exposure,MissionImpact,SafetyImpact,Outcome,Utility,TechnicalImpact
184,active,small,mission fail,minor,out-of-band,laborious,partial
185,active,small,mission fail,minor,out-of-band,laborious,total
186,active,small,mission fail,minor,out-of-band,efficient,partial
187,active,small,mission fail,minor,out-of-band,efficient,total
188,active,controlled,MEF fail,minor,out-of-band,laborious,partial
189,active,controlled,MEF fail,minor,out-of-band,laborious,total
190,active,controlled,MEF fail,minor,out-of-band,efficient,partial
191,active,controlled,MEF fail,minor,out-of-band,efficient,total
192,active,unavoidable,degraded,minor,out-of-band,laborious,partial
193,active,unavoidable,degraded,minor,out-of-band,laborious,total
194,active,unavoidable,degraded,minor,out-of-band,efficient,partial
195,active,unavoidable,degraded,minor,out-of-band,efficient,total
196,active,unavoidable,MEF crippled,minor,out-of-band,laborious,partial
197,active,unavoidable,MEF crippled,minor,out-of-band,laborious,total
198,active,unavoidable,MEF crippled,minor,out-of-band,efficient,partial
199,active,unavoidable,MEF crippled,minor,out-of-band,efficient,total
200,active,small,degraded,minor,scheduled,,
201,active,small,MEF crippled,minor,scheduled,,
202,active,small,MEF fail,minor,scheduled,,
203,active,controlled,none,minor,scheduled,,
204,active,controlled,degraded,minor,scheduled,,
205,active,controlled,MEF crippled,minor,scheduled,,
206,active,unavoidable,none,minor,scheduled,,
207,active,small,none,none,defer,,
208,active,small,degraded,none,defer,,
209,active,controlled,none,none,defer,,
210,active,unavoidable,none,none,defer,,
211,active,controlled,mission fail,none,immediate,super effective,total
212,active,unavoidable,MEF fail,none,immediate,super effective,total
213,active,unavoidable,mission fail,none,immediate,super effective,total
214,active,small,mission fail,none,out-of-band,laborious,total
215,active,small,mission fail,none,out-of-band,efficient,partial
216,active,small,mission fail,none,out-of-band,efficient,total
217,active,small,mission fail,none,out-of-band,super effective,partial
218,active,controlled,MEF fail,none,out-of-band,laborious,total
219,active,controlled,MEF fail,none,out-of-band,efficient,partial
220,active,controlled,MEF fail,none,out-of-band,efficient,total
221,active,controlled,MEF fail,none,out-of-band,super effective,partial
222,active,unavoidable,MEF crippled,none,out-of-band,laborious,total
223,active,unavoidable,MEF crippled,none,out-of-band,efficient,partial
224,active,unavoidable,MEF crippled,none,out-of-band,efficient,total
225,active,unavoidable,MEF crippled,none,out-of-band,super effective,partial
226,active,small,MEF crippled,none,scheduled,laborious,partial
227,active,small,MEF fail,none,scheduled,laborious,partial
228,active,controlled,degraded,none,scheduled,laborious,partial
229,active,controlled,MEF crippled,none,scheduled,laborious,partial
230,active,unavoidable,degraded,none,scheduled,laborious,partial
231,none,unavoidable,none,catastrophic,immediate,,
232,none,unavoidable,degraded,catastrophic,immediate,,
233,none,unavoidable,MEF crippled,catastrophic,immediate,,
234,none,unavoidable,MEF fail,catastrophic,immediate,,
235,none,unavoidable,mission fail,catastrophic,immediate,,
236,none,small,none,catastrophic,out-of-band,laborious,total
237,none,small,none,catastrophic,out-of-band,efficient,partial
238,none,small,none,catastrophic,out-of-band,efficient,total
239,none,small,none,catastrophic,out-of-band,super effective,partial
240,none,small,none,catastrophic,out-of-band,super effective,total
241,none,small,degraded,catastrophic,out-of-band,laborious,total
242,none,small,degraded,catastrophic,out-of-band,efficient,partial
243,none,small,degraded,catastrophic,out-of-band,efficient,total
244,none,small,degraded,catastrophic,out-of-band,super effective,partial
245,none,small,degraded,catastrophic,out-of-band,super effective,total
246,none,small,MEF crippled,catastrophic,out-of-band,laborious,total
247,none,small,MEF crippled,catastrophic,out-of-band,efficient,partial
248,none,small,MEF crippled,catastrophic,out-of-band,efficient,total
249,none,small,MEF crippled,catastrophic,out-of-band,super effective,partial
250,none,small,MEF crippled,catastrophic,out-of-band,super effective,total
251,none,small,MEF fail,catastrophic,out-of-band,laborious,total
252,none,small,MEF fail,catastrophic,out-of-band,efficient,partial
253,none,small,MEF fail,catastrophic,out-of-band,efficient,total
254,none,small,MEF fail,catastrophic,out-of-band,super effective,partial
255,none,small,MEF fail,catastrophic,out-of-band,super effective,total
256,none,small,mission fail,catastrophic,out-of-band,laborious,total
257,none,small,mission fail,catastrophic,out-of-band,efficient,partial
258,none,small,mission fail,catastrophic,out-of-band,efficient,total
259,none,small,mission fail,catastrophic,out-of-band,super effective,partial
260,none,small,mission fail,catastrophic,out-of-band,super effective,total
261,none,controlled,none,catastrophic,out-of-band,laborious,total
262,none,controlled,none,catastrophic,out-of-band,efficient,partial
263,none,controlled,none,catastrophic,out-of-band,efficient,total
264,none,controlled,none,catastrophic,out-of-band,super effective,partial
265,none,controlled,none,catastrophic,out-of-band,super effective,total
266,none,controlled,degraded,catastrophic,out-of-band,laborious,total
267,none,controlled,degraded,catastrophic,out-of-band,efficient,partial
268,none,controlled,degraded,catastrophic,out-of-band,efficient,total
269,none,controlled,degraded,catastrophic,out-of-band,super effective,partial
270,none,controlled,degraded,catastrophic,out-of-band,super effective,total
271,none,controlled,MEF crippled,catastrophic,out-of-band,laborious,total
272,none,controlled,MEF crippled,catastrophic,out-of-band,efficient,partial
273,none,controlled,MEF crippled,catastrophic,out-of-band,efficient,total
274,none,controlled,MEF crippled,catastrophic,out-of-band,super effective,partial
275,none,controlled,MEF crippled,catastrophic,out-of-band,super effective,total
276,none,controlled,MEF fail,catastrophic,out-of-band,laborious,total
277,none,controlled,MEF fail,catastrophic,out-of-band,efficient,partial
278,none,controlled,MEF fail,catastrophic,out-of-band,efficient,total
279,none,controlled,MEF fail,catastrophic,out-of-band,super effective,partial
280,none,controlled,MEF fail,catastrophic,out-of-band,super effective,total
281,none,controlled,mission fail,catastrophic,out-of-band,laborious,total
282,none,controlled,mission fail,catastrophic,out-of-band,efficient,partial
283,none,controlled,mission fail,catastrophic,out-of-band,efficient,total
284,none,controlled,mission fail,catastrophic,out-of-band,super effective,partial
285,none,controlled,mission fail,catastrophic,out-of-band,super effective,total
286,none,,,catastrophic,scheduled,laborious,partial
287,none,controlled,none,hazardous,out-of-band,efficient,total
288,none,controlled,none,hazardous,out-of-band,super effective,partial
289,none,controlled,none,hazardous,out-of-band,super effective,total
290,none,controlled,degraded,hazardous,out-of-band,efficient,total
291,none,controlled,degraded,hazardous,out-of-band,super effective,partial
292,none,controlled,degraded,hazardous,out-of-band,super effective,total
293,none,controlled,MEF crippled,hazardous,out-of-band,efficient,total
294,none,controlled,MEF crippled,hazardous,out-of-band,super effective,partial
295,none,controlled,MEF crippled,hazardous,out-of-band,super effective,total
296,none,controlled,MEF fail,hazardous,out-of-band,efficient,total
297,none,controlled,MEF fail,hazardous,out-of-band,super effective,partial
298,none,controlled,MEF fail,hazardous,out-of-band,super effective,total
299,none,controlled,mission fail,hazardous,out-of-band,efficient,total
300,none,controlled,mission fail,hazardous,out-of-band,super effective,partial
301,none,controlled,mission fail,hazardous,out-of-band,super effective,total
302,none,unavoidable,none,hazardous,out-of-band,efficient,total
303,none,unavoidable,none,hazardous,out-of-band,super effective,partial
304,none,unavoidable,none,hazardous,out-of-band,super effective,total
305,none,unavoidable,degraded,hazardous,out-of-band,efficient,total
306,none,unavoidable,degraded,hazardous,out-of-band,super effective,partial
307,none,unavoidable,degraded,hazardous,out-of-band,super effective,total
308,none,unavoidable,MEF crippled,hazardous,out-of-band,efficient,total
309,none,unavoidable,MEF crippled,hazardous,out-of-band,super effective,partial
310,none,unavoidable,MEF crippled,hazardous,out-of-band,super effective,total
311,none,unavoidable,MEF fail,hazardous,out-of-band,efficient,total
312,none,unavoidable,MEF fail,hazardous,out-of-band,super effective,partial
313,none,unavoidable,MEF fail,hazardous,out-of-band,super effective,total
314,none,unavoidable,mission fail,hazardous,out-of-band,efficient,total
315,none,unavoidable,mission fail,hazardous,out-of-band,super effective,partial
316,none,unavoidable,mission fail,hazardous,out-of-band,super effective,total
317,none,small,none,hazardous,scheduled,laborious,partial
318,none,small,none,hazardous,scheduled,laborious,total
319,none,small,none,hazardous,scheduled,efficient,partial
320,none,small,degraded,hazardous,scheduled,laborious,partial
321,none,small,degraded,hazardous,scheduled,laborious,total
322,none,small,degraded,hazardous,scheduled,efficient,partial
323,none,small,MEF crippled,hazardous,scheduled,laborious,partial
324,none,small,MEF crippled,hazardous,scheduled,laborious,total
325,none,small,MEF crippled,hazardous,scheduled,efficient,partial
326,none,small,MEF fail,hazardous,scheduled,laborious,partial
327,none,small,MEF fail,hazardous,scheduled,laborious,total
328,none,small,MEF fail,hazardous,scheduled,efficient,partial
329,none,small,mission fail,hazardous,scheduled,laborious,partial
330,none,small,mission fail,hazardous,scheduled,laborious,total
331,none,small,mission fail,hazardous,scheduled,efficient,partial
332,none,small,none,major,defer,,
333,none,controlled,mission fail,major,out-of-band,,
334,none,unavoidable,MEF fail,major,out-of-band,,
335,none,unavoidable,mission fail,major,out-of-band,,
336,none,small,degraded,major,scheduled,laborious,partial
337,none,small,degraded,major,scheduled,laborious,total
338,none,small,degraded,major,scheduled,efficient,partial
339,none,small,degraded,major,scheduled,efficient,total
340,none,small,degraded,major,scheduled,super effective,partial
341,none,small,degraded,major,scheduled,super effective,total
342,none,small,MEF crippled,major,scheduled,laborious,partial
343,none,small,MEF crippled,major,scheduled,laborious,total
344,none,small,MEF crippled,major,scheduled,efficient,partial
345,none,small,MEF crippled,major,scheduled,efficient,total
346,none,small,MEF crippled,major,scheduled,super effective,partial
347,none,small,MEF crippled,major,scheduled,super effective,total
348,none,small,MEF fail,major,scheduled,laborious,partial
349,none,small,MEF fail,major,scheduled,laborious,total
350,none,small,MEF fail,major,scheduled,efficient,partial
351,none,small,MEF fail,major,scheduled,efficient,total
352,none,small,MEF fail,major,scheduled,super effective,partial
353,none,small,MEF fail,major,scheduled,super effective,total
354,none,small,mission fail,major,scheduled,laborious,partial
355,none,small,mission fail,major,scheduled,laborious,total
356,none,small,mission fail,major,scheduled,efficient,partial
357,none,small,mission fail,major,scheduled,efficient,total
358,none,small,mission fail,major,scheduled,super effective,partial
359,none,small,mission fail,major,scheduled,super effective,total
360,none,controlled,none,major,scheduled,laborious,partial
361,none,controlled,none,major,scheduled,laborious,total
362,none,controlled,none,major,scheduled,efficient,partial
363,none,controlled,none,major,scheduled,efficient,total
364,none,controlled,none,major,scheduled,super effective,partial
365,none,controlled,none,major,scheduled,super effective,total
366,none,controlled,degraded,major,scheduled,laborious,partial
367,none,controlled,degraded,major,scheduled,laborious,total
368,none,controlled,degraded,major,scheduled,efficient,partial
369,none,controlled,degraded,major,scheduled,efficient,total
370,none,controlled,degraded,major,scheduled,super effective,partial
371,none,controlled,degraded,major,scheduled,super effective,total
